cryptocurrency_id,price_usd,market_cap,volume,date
2.0,2515.31,303869000000.0,41114600000.0,2025-06-15
2.0,2622.66,316458000000.0,16944000000.0,2025-06-16
2.0,2622.66,316458000000.0,16944000000.0,2025-06-17
2.0,2525.92,304870000000.0,20213200000.0,2025-06-18
2.0,2537.53,306391000000.0,16908000000.0,2025-06-19
2.0,2554.03,308209000000.0,10195800000.0,2025-06-20
2.0,2554.03,308209000000.0,10195800000.0,2025-06-21
2.0,2554.03,308209000000.0,10195800000.0,2025-06-22
2.0,2249.08,271532000000.0,24232200000.0,2025-06-23
2.0,2418.79,291978000000.0,27820400000.0,2025-06-24
2.0,2424.53,292612000000.0,16583900000.0,2025-06-25
2.0,2462.17,297333000000.0,18131500000.0,2025-06-26
2.0,2451.88,296072000000.0,13384400000.0,2025-06-27
2.0,2428.18,293079000000.0,9519980000.0,2025-06-28
2.0,2455.69,296394000000.0,5707760000.0,2025-06-29
2.0,2451.78,295763000000.0,13049400000.0,2025-06-30
2.0,2459.22,296796000000.0,14818700000.0,2025-07-01
2.0,2450.02,295638000000.0,10783300000.0,2025-07-02
2.0,2592.67,313265000000.0,25810600000.0,2025-07-03
2.0,2550.14,307916000000.0,17656500000.0,2025-07-04
2.0,2520.57,304245000000.0,12263700000.0,2025-07-05
2.0,2507.86,302824000000.0,5807810000.0,2025-07-06
2.0,2564.4,309808000000.0,13243300000.0,2025-07-07
2.0,2558.59,308634000000.0,16284700000.0,2025-07-08
2.0,2613.1,315377000000.0,16521800000.0,2025-07-09
2.0,2775.89,335101000000.0,31276700000.0,2025-07-10
2.0,3009.11,363056000000.0,48309200000.0,2025-07-11
2.0,2974.45,358901000000.0,29245700000.0,2025-07-12
2.0,2956.44,356905000000.0,12404600000.0,2025-07-13
2.0,3048.62,367012000000.0,33373600000.0,2025-07-14
2.0,2976.47,359250000000.0,36503500000.0,2025-07-15
2.0,3156.18,380946000000.0,43085700000.0,2025-07-16
2.0,3471.5,418948000000.0,54833600000.0,2025-07-17
2.0,3611.0,435893000000.0,70911500000.0,2025-07-18
2.0,3557.1,429317000000.0,48681300000.0,2025-07-19
2.0,3705.58,447410000000.0,36614300000.0,2025-07-20
2.0,3777.68,456108000000.0,53235400000.0,2025-07-21
2.0,3669.94,442910000000.0,55142400000.0,2025-07-22
2.0,3658.48,441614000000.0,41351200000.0,2025-07-23
2.0,3628.18,437197000000.0,50673000000.0,2025-07-24
2.0,3713.74,448698000000.0,43128900000.0,2025-07-25
2.0,3763.15,453957000000.0,32885300000.0,2025-07-26
2.0,3786.97,456922000000.0,22285600000.0,2025-07-27
2.0,3889.4,469456000000.0,36062600000.0,2025-07-28
2.0,3852.31,465464000000.0,33260500000.0,2025-07-29
2.0,3798.18,458324000000.0,31550500000.0,2025-07-30
2.0,3858.49,465834000000.0,32510300000.0,2025-07-31
2.0,3625.32,437857000000.0,38935300000.0,2025-08-01
2.0,3481.46,420244000000.0,36655900000.0,2025-08-02
2.0,3472.48,419172000000.0,25468500000.0,2025-08-03
2.0,3565.96,429786000000.0,20489500000.0,2025-08-04
2.0,3669.0,442412000000.0,28338400000.0,2025-08-05
2.0,3617.46,436880000000.0,24742500000.0,2025-08-06
2.0,3791.26,457941000000.0,21355900000.0,2025-08-07
2.0,3900.1,470889000000.0,36269400000.0,2025-08-08
2.0,4236.39,511509000000.0,41537700000.0,2025-08-09
2.0,4218.59,509155000000.0,36271600000.0,2025-08-10
2.0,4253.64,513086000000.0,30021700000.0,2025-08-11
2.0,4287.24,517137000000.0,41259600000.0,2025-08-12
2.0,4696.95,567227000000.0,61473700000.0,2025-08-13
2.0,4753.9,573861000000.0,50087500000.0,2025-08-14
2.0,4640.27,559992000000.0,63163200000.0,2025-08-15
2.0,4388.37,530310000000.0,42717000000.0,2025-08-16
2.0,4542.4,548341000000.0,23567400000.0,2025-08-17
2.0,4289.84,518402000000.0,39086600000.0,2025-08-18
2.0,4292.77,517482000000.0,38272700000.0,2025-08-19
2.0,4216.41,509667000000.0,43701500000.0,2025-08-20
2.0,4287.71,516305000000.0,33435700000.0,2025-08-21
2.0,4309.81,520611000000.0,29131300000.0,2025-08-22
2.0,4716.68,569886000000.0,58043900000.0,2025-08-23
2.0,4753.24,575080000000.0,22058500000.0,2025-08-24
2.0,4566.19,553792000000.0,40858400000.0,2025-08-25
2.0,4428.23,534594000000.0,47800700000.0,2025-08-26
2.0,4598.61,555532000000.0,40528800000.0,2025-08-27
2.0,4590.92,554562000000.0,32876500000.0,2025-08-28
2.0,4352.03,525628000000.0,31246800000.0,2025-08-29
2.0,4403.89,530674000000.0,33292900000.0,2025-08-30
2.0,4452.07,537591000000.0,18396200000.0,2025-08-31
2.0,4433.97,535315000000.0,25935100000.0,2025-09-01
2.0,4385.01,529761000000.0,27793700000.0,2025-09-02
2.0,4374.25,527548000000.0,31990400000.0,2025-09-03
2.0,4416.56,531944000000.0,32243200000.0,2025-09-04
2.0,4407.44,531475000000.0,31432700000.0,2025-09-05
2.0,4293.84,518385000000.0,30773400000.0,2025-09-06
2.0,4303.36,519654000000.0,15371700000.0,2025-09-07
2.0,4329.61,521946000000.0,19128100000.0,2025-09-08
2.0,4355.08,526198000000.0,30052800000.0,2025-09-09
2.0,4319.63,521306000000.0,26009800000.0,2025-09-10
2.0,4426.31,534186000000.0,37103500000.0,2025-09-11
2.0,4510.23,544811000000.0,37076500000.0,2025-09-12
2.0,4737.88,571921000000.0,37452500000.0,2025-09-13
2.0,4666.17,563127000000.0,24848500000.0,2025-09-14
2.0,4511.3,544535000000.0,33858900000.0,2025-09-15
2.0,4512.12,544292000000.0,25760500000.0,2025-09-16
2.0,4487.56,541992000000.0,32555500000.0,2025-09-17
2.0,4586.77,553571000000.0,42971900000.0,2025-09-18
2.0,4532.24,546781000000.0,26424900000.0,2025-09-19
2.0,4473.22,539977000000.0,23533200000.0,2025-09-20
2.0,4461.77,538822000000.0,14917100000.0,2025-09-21
2.0,4172.01,503558000000.0,41832600000.0,2025-09-22
2.0,4195.08,506137000000.0,33275600000.0,2025-09-23
2.0,4178.7,504526000000.0,30473300000.0,2025-09-24
2.0,4037.27,487045000000.0,40651800000.0,2025-09-25
2.0,3890.0,469834000000.0,57132800000.0,2025-09-26
2.0,3890.0,469834000000.0,57132800000.0,2025-09-27
2.0,3994.0,482212000000.0,15402600000.0,2025-09-28
2.0,4132.37,499090000000.0,27716700000.0,2025-09-29
2.0,4140.87,499983000000.0,36439200000.0,2025-09-30
2.0,4294.65,518556000000.0,40077200000.0,2025-10-01
2.0,4381.79,528992000000.0,40360300000.0,2025-10-02
2.0,4481.31,540985000000.0,43101300000.0,2025-10-03
