id,cryptocurrency_id,date,price_usd,market_cap,volume,change,id_crypto,name
117,1,2025-03-10T12:01:00,82396.0,1632180000000.0,44977500000.0,-2.96166,1,bitcoin
118,2,2025-03-10T12:01:01,2100.85,253068000000.0,25551000000.0,-1.64178,2,ethereum
119,3,2025-03-10T12:01:01,0.99996,142795000000.0,37841500000.0,0.0270882,3,tether
120,4,2025-03-10T12:01:01,564.46,82276300000.0,1039960000.0,-2.19299,4,binancecoin
121,5,2025-03-10T12:01:02,0.999883,58291100000.0,10041900000.0,-0.00169747,5,usd-coin
122,1,2025-03-11T12:01:18,81833.0,1621500000000.0,61204000000.0,-0.76118,1,bitcoin
123,2,2025-03-11T12:01:18,1923.9,231916000000.0,41288200000.0,-8.51495,2,ethereum
124,3,2025-03-11T12:01:18,0.999795,142967000000.0,51284900000.0,-0.0165279,3,tether
125,4,2025-03-11T12:01:19,558.43,81532700000.0,1881240000.0,-1.12934,4,binancecoin
126,5,2025-03-11T12:01:19,0.999882,58007500000.0,14069700000.0,-0.000196733,5,usd-coin
127,1,2025-03-12T12:01:00,82461.0,1636460000000.0,43621600000.0,0.822385,1,bitcoin
128,2,2025-03-12T12:01:01,1899.7,229079000000.0,28156700000.0,-1.03811,2,ethereum
129,3,2025-03-12T12:01:01,0.99985,143161000000.0,63885700000.0,0.00552399,3,tether
130,4,2025-03-12T12:01:02,557.54,81366500000.0,1231960000.0,-0.105088,4,binancecoin
131,5,2025-03-12T12:01:02,0.999881,58189300000.0,14619200000.0,-0.000113588,5,usd-coin
132,1,2025-03-13T12:03:46,83143.0,1649930000000.0,34456900000.0,0.652155,1,bitcoin
133,2,2025-03-13T12:03:46,1900.39,229296000000.0,20764100000.0,-0.255966,2,ethereum
134,3,2025-03-13T12:03:46,0.999834,143322000000.0,53923800000.0,-0.00181127,3,tether
135,4,2025-03-13T12:03:47,581.45,84729600000.0,1171110000.0,4.10086,4,binancecoin
136,5,2025-03-13T12:03:47,0.999811,58370200000.0,9355890000.0,-0.00643589,5,usd-coin
137,1,2025-03-14T12:12:15,83091.0,1647680000000.0,30226600000.0,0.224683,1,bitcoin
138,2,2025-03-14T12:12:15,1900.08,229091000000.0,16317700000.0,0.32381,2,ethereum
139,3,2025-03-14T12:12:15,0.999842,143324000000.0,25109100000.0,0.000440962,3,tether
140,4,2025-03-14T12:12:15,580.22,84579800000.0,1728900000.0,0.0460198,4,binancecoin
141,5,2025-03-14T12:12:16,0.999884,58407100000.0,10759400000.0,0.00739917,5,usd-coin
142,1,2025-03-17T12:01:18,83326.0,1652910000000.0,24920600000.0,-0.0939627,1,bitcoin
143,2,2025-03-17T12:01:18,1912.96,230684000000.0,11257400000.0,0.745075,2,ethereum
144,3,2025-03-17T12:01:18,0.999912,143452000000.0,23848900000.0,-0.0106502,3,tether
145,4,2025-03-17T12:01:19,637.48,92958800000.0,1557210000.0,6.57853,4,binancecoin
146,5,2025-03-17T12:01:19,0.999888,58709600000.0,7411630000.0,-0.000424159,5,usd-coin
147,1,2025-03-18T12:21:58,82702.0,1641030000000.0,25004300000.0,-1.04243,1,bitcoin
148,2,2025-03-18T12:21:59,1895.38,228609000000.0,11316900000.0,-1.08681,2,ethereum
149,3,2025-03-18T12:21:59,0.999877,143408000000.0,41006500000.0,-0.00120946,3,tether
150,4,2025-03-18T12:21:59,634.35,92555600000.0,1475790000.0,-0.533813,4,binancecoin
