id,cryptocurrency_id,date,price_usd,cryptocurrency_name,market_cap,volume,change
90,9,2025-02-28 11:59:11,0.999838,usd-coin,55600037147.63354,15682587074.248455,-0.0062195937394950085
91,1,2025-03-03 12:01:26,92529.0,bitcoin,1832140433033.5176,76960818612.11809,7.6261497993601015
92,2,2025-03-03 12:01:26,2358.78,ethereum,283963197951.0251,41504567434.99206,5.09144983974534
93,3,2025-03-03 12:01:27,0.999681,tether,142390757639.82065,143616283995.5698,0.009305210394643744
94,4,2025-03-03 12:01:27,604.71,binancecoin,88099491927.97063,1772995327.9029841,-0.7424536893906553
95,9,2025-03-03 12:01:28,0.999921,usd-coin,56386833360.72239,19277580450.10764,0.002670842920694721
96,1,2025-03-04 12:00:13,83902.0,bitcoin,1663861342205.9727,62749020988.26757,-9.314374869713166
97,2,2025-03-04 12:00:14,2100.57,ethereum,253304662852.45166,35349230051.515884,-10.94692299294387
98,3,2025-03-04 12:00:14,0.999401,tether,142423324792.81192,74701645536.39017,-0.028166861752036504
99,4,2025-03-04 12:00:14,568.77,binancecoin,83109245767.95335,1437380019.3918533,-5.936857663542059
100,9,2025-03-04 12:00:15,0.999884,usd-coin,56265629437.24616,10947230090.92396,-0.004623171602780247
101,1,2025-03-05 12:02:32,89845.0,bitcoin,1782222158616.7412,60951121076.56221,7.082321678737394
102,2,2025-03-05 12:02:33,2238.39,ethereum,270197905528.29453,25760160737.106808,6.697617106181081
103,3,2025-03-05 12:02:33,0.999967,tether,142490930181.16595,49585691963.43411,0.056683331549854284
104,4,2025-03-05 12:02:34,603.1,binancecoin,88020110837.34387,1068311661.959186,6.08180268215583
105,9,2025-03-05 12:02:34,0.999893,usd-coin,56439221231.9467,13766479306.022999,0.00683659245235449
106,1,2025-03-06 12:11:59,91059.0,bitcoin,1806156474939.6277,41074135742.16204,1.3098497730532301
107,2,2025-03-06 12:11:59,2289.16,ethereum,276006125328.0836,21007612543.43958,2.378332996104582
108,3,2025-03-06 12:11:59,0.999944,tether,142710367105.6733,79205242223.63272,-0.0027844032629902814
109,4,2025-03-06 12:11:59,601.9,binancecoin,87808738551.706,814799914.9973364,-0.17169128546827161
110,9,2025-03-06 12:12:00,0.999868,usd-coin,57243927666.70688,10538383641.289368,-0.002162351959628051
111,15,2025-03-06 12:12:00,2.62,ripple,151553139545.71057,5293465443.417893,4.099742716311268
112,1,2025-03-07 12:31:09,89086.0,bitcoin,1768401424072.3647,60084999522.35227,-2.575676870098527
113,2,2025-03-07 12:31:09,2199.55,ethereum,265576680817.52127,19761464515.859592,-4.282878676707152
114,3,2025-03-07 12:31:09,1.0,tether,142805987063.27966,48682489578.97243,0.01076838434338607
115,4,2025-03-07 12:31:10,599.64,binancecoin,87538882195.2179,883532114.8691314,-0.7285865198825323
116,9,2025-03-07 12:31:10,0.999874,usd-coin,57437200325.890686,7729178033.681287,-0.0005889222353707367
117,1,2025-03-10 12:01:00,82396.0,bitcoin,1632175423140.178,44977532330.52012,-2.961663525930143
118,2,2025-03-10 12:01:01,2100.85,ethereum,253067780371.61783,25550985487.33852,-1.6417802050140806
119,3,2025-03-10 12:01:01,0.99996,tether,142794876183.24365,37841458934.79725,0.02708817102094425
120,4,2025-03-10 12:01:01,564.46,binancecoin,82276345886.57701,1039956661.4360775,-2.19298741124216
121,9,2025-03-10 12:01:02,0.999883,usd-coin,58291076450.99743,10041895583.527205,-0.0016974687059286065
122,1,2025-03-11 12:01:18,81833.0,bitcoin,1621498008250.4285,61203962312.38589,-0.761179542479754
123,2,2025-03-11 12:01:18,1923.9,ethereum,231915496214.94955,41288234749.078606,-8.514946144257
124,3,2025-03-11 12:01:18,0.999795,tether,142967259773.57144,51284873216.39079,-0.01652792228696497
125,4,2025-03-11 12:01:19,558.43,binancecoin,81532666162.7095,1881236992.0735812,-1.129342814974226
126,9,2025-03-11 12:01:19,0.999882,usd-coin,58007537625.92827,14069675605.100353,-0.00019673316249806542
127,1,2025-03-12 12:01:00,82461.0,bitcoin,1636456108166.7947,43621554558.47063,0.8223854416034811
128,2,2025-03-12 12:01:01,1899.7,ethereum,229078719895.78036,28156722432.37488,-1.0381077233346787
129,3,2025-03-12 12:01:01,0.99985,tether,143161002308.38605,63885659668.69149,0.005523990079449555
130,4,2025-03-12 12:01:02,557.54,binancecoin,81366456635.83466,1231964549.6775362,-0.10508832967622687
131,9,2025-03-12 12:01:02,0.999881,usd-coin,58189297987.18394,14619211217.381227,-0.00011358775297141018
132,1,2025-03-13 12:03:46,83143.0,bitcoin,1649926160190.3809,34456926799.56272,0.6521549208548965
133,2,2025-03-13 12:03:46,1900.39,ethereum,229295869618.46252,20764072559.263123,-0.25596632974969585
134,3,2025-03-13 12:03:46,0.999834,tether,143321602205.49774,53923769968.33793,-0.0018112672873849655
135,4,2025-03-13 12:03:47,581.45,binancecoin,84729580165.32867,1171114786.6400883,4.100862011566546
136,9,2025-03-13 12:03:47,0.999811,usd-coin,58370161071.98044,9355887986.238358,-0.006435886234253302
137,1,2025-03-14 12:12:15,83091.0,bitcoin,1647678191569.2844,30226556525.600555,0.22468262930933847
138,2,2025-03-14 12:12:15,1900.08,ethereum,229091434475.50974,16317743188.537327,0.3238096471325083
139,3,2025-03-14 12:12:15,0.999842,tether,143323667470.82355,25109148195.449993,0.0004409621715832367
140,4,2025-03-14 12:12:15,580.22,binancecoin,84579800057.54492,1728902314.8845716,0.04601975191149996
141,9,2025-03-14 12:12:16,0.999884,usd-coin,58407137592.6501,10759387001.35752,0.007399166324707099
142,1,2025-03-17 12:01:18,83326.0,bitcoin,1652910789038.378,24920583074.008022,-0.09396271769388546
143,2,2025-03-17 12:01:18,1912.96,ethereum,230683928072.7245,11257354315.84499,0.7450750255314833
144,3,2025-03-17 12:01:18,0.999912,tether,143452343150.12573,23848898756.522366,-0.010650182346104391
145,4,2025-03-17 12:01:19,637.48,binancecoin,92958836850.61832,1557206014.3599737,6.578530736921554
146,9,2025-03-17 12:01:19,0.999888,usd-coin,58709566584.05818,7411630120.91627,-0.00042415859082758255
147,1,2025-03-18 12:21:58,82702.0,bitcoin,1641027479390.1553,25004311786.561283,-1.0424317520704147
148,2,2025-03-18 12:21:59,1895.38,ethereum,228609300505.99216,11316923482.529596,-1.086807470671622
149,3,2025-03-18 12:21:59,0.999877,tether,143408007220.34778,41006493890.32762,-0.001209460368924416
150,4,2025-03-18 12:21:59,634.35,binancecoin,92555650757.55931,1475787819.5330305,-0.5338131905640795
151,9,2025-03-18 12:22:00,0.999842,usd-coin,58870795082.33013,7920082749.504937,0.005201689560472095
152,15,2025-03-18 12:22:00,2.27,ripple,131950102038.60672,2992748412.0722528,-2.918182206244383
153,1,2025-03-19 12:32:18,83759.0,bitcoin,1662887513618.07,21936116591.038815,1.2887731354206877
154,2,2025-03-19 12:32:18,2014.65,ethereum,243187121230.86282,11133570469.889044,6.4322697400457844
155,3,2025-03-19 12:32:19,0.999828,tether,143414851939.5071,40292744211.96785,-0.004827560836062928
156,4,2025-03-19 12:32:19,618.09,binancecoin,90241584888.9593,1100726082.1315966,-2.32954437449048
157,9,2025-03-19 12:32:20,0.999703,usd-coin,58802094301.12642,4958441045.955294,-0.013820182512346292
158,1,2025-03-20 12:01:33,85169.0,bitcoin,1689975190151.9534,36698665078.70816,2.123948860255523
159,2,2025-03-20 12:01:34,1983.17,ethereum,239260114496.78375,19149010859.999157,0.2345263111458691
160,3,2025-03-20 12:01:34,0.999621,tether,143598964555.04852,50627780413.213486,-0.026760325461555157
161,4,2025-03-20 12:01:35,633.41,binancecoin,92378334776.96008,1567975412.7575078,2.8041451758841474
162,9,2025-03-20 12:01:35,0.999898,usd-coin,59238716242.49659,8325494688.909661,0.0011829543257677417
163,1,2025-03-21 12:03:39,84055.0,bitcoin,1669218041115.4653,24281426952.171513,-1.369620554601341
164,2,2025-03-21 12:03:39,1965.2,ethereum,237357651674.45706,10300386989.46099,-0.9330247875438159
165,3,2025-03-21 12:03:39,0.999544,tether,143461612070.7986,23679953929.607143,-0.00763530139648337
166,4,2025-03-21 12:03:40,634.59,binancecoin,92677448785.37189,1247287533.1388352,0.1181972279444834
167,9,2025-03-21 12:03:40,0.9998,usd-coin,59311829706.13055,6064118787.661542,-0.009766029842854058
168,1,2025-03-24 12:11:19,87689.0,bitcoin,1740878195134.9404,22585237360.135113,3.5330200981269955
169,2,2025-03-24 12:11:19,2093.2,ethereum,252648417316.16138,11612758176.93686,3.829117017597545
170,3,2025-03-24 12:11:19,1.0,tether,143495684815.98892,24013819359.271965,0.029193437982362725
171,4,2025-03-24 12:11:20,630.35,binancecoin,91998938607.93324,723666377.6045334,1.3022434091492214
172,9,2025-03-24 12:11:20,0.999887,usd-coin,59491077698.294876,4346175658.955463,0.0035937345314426853
173,1,2025-03-25 12:42:45,87333.0,bitcoin,1735687006717.3142,31313678993.059235,-0.40698240748157427
174,2,2025-03-25 12:42:45,2071.64,ethereum,249690708580.915,12431746946.916224,-0.9958346094804126
175,3,2025-03-25 12:42:45,1.0,tether,143783997839.1888,26643029796.18194,-0.0023095016416604707
176,4,2025-03-25 12:42:46,633.77,binancecoin,92377944845.04593,1454746812.580342,0.5482076765422261
177,9,2025-03-25 12:42:46,0.999802,usd-coin,59782119961.85027,5984733330.952676,-0.007567793531814817
178,1,2025-03-26 12:01:31,88239.0,bitcoin,1750831185408.176,26869828585.724766,1.1902681321269764
179,2,2025-03-26 12:01:31,2074.17,ethereum,250242595693.01892,11636570395.285055,0.1347134261438719
180,3,2025-03-26 12:01:32,1.0,tether,144040290665.9588,30195835490.8587,0.010367555313259015
181,4,2025-03-26 12:01:32,631.75,binancecoin,92166463788.44118,1072554551.6522197,-0.9368979360171001
182,9,2025-03-26 12:01:32,0.999889,usd-coin,60209634162.85143,8553828975.897729,0.0003180718435544636
183,1,2025-03-27 12:11:26,87325.0,bitcoin,1733138479202.2043,22690599913.2208,-1.0650023427747242
184,2,2025-03-27 12:11:26,2029.49,ethereum,244835136286.88226,13364378752.787535,-2.1402609481765147
185,3,2025-03-27 12:11:27,1.0,tether,144187781864.6033,24007164936.801094,-0.0036793396900018913
186,4,2025-03-27 12:11:27,636.46,binancecoin,92799083011.37595,1402203548.1867437,0.5943662439062871
187,9,2025-03-27 12:11:27,0.999864,usd-coin,60136493955.838264,8635873781.176804,-0.003022758885454098
188,1,2025-03-28 12:03:47,84936.0,bitcoin,1684035792799.1892,29425343772.12149,-2.732457194543608
189,2,2025-03-28 12:03:47,1908.3,ethereum,230059858694.72455,17091427490.414434,-5.915969469337962
190,3,2025-03-28 12:03:47,0.999694,tether,144138478658.74048,55260469556.32428,-0.04323967691550282
191,4,2025-03-28 12:03:48,628.44,binancecoin,91603393914.98335,1690893072.759816,-1.1628062049045436
192,9,2025-03-28 12:03:48,0.999793,usd-coin,60323227723.77057,6557614994.782869,-0.007241002103330602
193,1,2025-03-31 12:01:34,81489.0,bitcoin,1614928127964.7046,20566460536.704803,-2.338945739044293
194,2,2025-03-31 12:01:35,1786.15,ethereum,215216625438.8541,13975375609.835709,-3.0940428556433233
195,3,2025-03-31 12:01:35,0.999826,tether,143912310391.26157,37761946913.37356,0.010244315219674503
196,4,2025-03-31 12:01:35,589.27,binancecoin,85876133709.9148,781024663.7074255,-3.0752489766597493
197,9,2025-03-31 12:01:36,0.999879,usd-coin,60060761196.97151,8606353924.027323,-0.007457898613487424
